Term_Or_Block,Phase,Start_Date,End_Date,Instructional_Days,Notes
Pre-SY,Enrollment,6/1/2026,6/5/2026,0,Enrollment period & Brigada Eskwela
Term 1,Opening Block,6/8/2026,6/11/2026,0,Initial orientation & school activities
Term 1,Instructional Period,6/15/2026,9/1/2026,54,Regular continuous instruction
Term 1,End-of-Term,9/2/2026,9/15/2026,0,Term 1 assessments and wellness breaks
Term 2,Instructional Period,9/16/2026,12/4/2026,55,Regular instructional period
Term 2,End-of-Term,12/7/2026,12/18/2026,0,Term 2 assessments and activities
Term 3,Instructional Period,1/4/2027,3/23/2027,61,Longest instructional block
Term 3,Closing Activities,3/24/2027,4/8/2027,0,Final examinations and closing rites
Post-SY,Year-End Break,4/9/2027,5/8/2027,0,Official End-of-School-Year break
